	res	x1	x3	x_N-4	x_N-2
15398	1.028270104064255e-06	-0.49999973671985615	-2.499998686455106	-97.4999987466231	-99.4999997492751
15399	1.0272555812096407e-06	-0.4999997369796165	-2.4999986877510905	-97.49999874785973	-99.49999974952247
15400	1.0262420135909167e-06	-0.4999997372391205	-2.4999986890457957	-97.49999874909514	-99.49999974976961
15401	1.0252295497559238e-06	-0.4999997374983685	-2.499998690339224	-97.49999875032933	-99.4999997500165
15402	1.0242181269770612e-06	-0.4999997377573607	-2.4999986916313754	-97.49999875156229	-99.49999975026314
15403	1.0232075579597044e-06	-0.49999973801609743	-2.4999986929222526	-97.49999875279403	-99.49999975050953
15404	1.0221980727975755e-06	-0.49999973827457883	-2.4999986942118557	-97.49999875402456	-99.49999975075569
15405	1.0211894527767384e-06	-0.49999973853280516	-2.499998695500187	-97.49999875525387	-99.49999975100161
15406	1.0201819068411666e-06	-0.4999997387907769	-2.4999986967872463	-97.49999875648197	-99.49999975124727
15407	1.0191753801458425e-06	-0.49999973904849393	-2.4999986980730364	-97.49999875770887	-99.49999975149271
15408	1.0181699156563973e-06	-0.4999997393059568	-2.499998699357558	-97.49999875893455	-99.49999975173789
15409	1.0171652507495743e-06	-0.49999973956316557	-2.4999987006408126	-97.49999876015903	-99.49999975198283
15410	1.016161707112495e-06	-0.4999997398201206	-2.4999987019228005	-97.49999876138229	-99.49999975222754
15411	1.0151591793294834e-06	-0.4999997400768223	-2.4999987032035236	-97.49999876260435	-99.499999752472
15412	1.0141574997568625e-06	-0.4999997403332705	-2.499998704482983	-97.49999876382519	-99.4999997527162
15413	1.0131570394866785e-06	-0.49999974058946567	-2.4999987057611803	-97.49999876504484	-99.49999975296019
15414	1.0121573553734109e-06	-0.49999974084540816	-2.499998707038116	-97.49999876626327	-99.49999975320392
15415	1.0111586255523441e-06	-0.4999997411010981	-2.4999987083137922	-97.49999876748053	-99.49999975344741
15416	1.0101610989354803e-06	-0.49999974135653574	-2.49999870958821	-97.49999876869657	-99.49999975369067
15417	1.0091644281895462e-06	-0.49999974161172134	-2.4999987108613695	-97.4999987699114	-99.4999997539337
15418	1.008168515004293e-06	-0.4999997418666553	-2.499998712133274	-97.49999877112505	-99.49999975417647
15419	1.0071739914296884e-06	-0.49999974212133746	-2.4999987134039237	-97.49999877233749	-99.49999975441901
15420	1.0061803923377965e-06	-0.4999997423757686	-2.499998714673319	-97.49999877354875	-99.4999997546613
15421	1.0051875457550707e-06	-0.49999974262994873	-2.499998715941462	-97.49999877475881	-99.49999975490336
15422	1.0041959694340186e-06	-0.499999742883878	-2.4999987172083538	-97.49999877596767	-99.49999975514518
15423	1.0032050336006293e-06	-0.49999974313755674	-2.4999987184739956	-97.49999877717534	-99.49999975538677
15424	1.0022152875932555e-06	-0.4999997433909851	-2.4999987197383886	-97.49999877838181	-99.49999975562811
15425	1.00122655988244e-06	-0.49999974364416344	-2.4999987210015355	-97.4999987795871	-99.49999975586921
15426	1.000238642911988e-06	-0.4999997438970921	-2.4999987222634346	-97.4999987807912	-99.49999975611009
15427	9.99251883182506e-07	-0.4999997441497713	-2.499998723524089	-97.49999878199411	-99.4999997563507
15428	9.982658776275244e-07	-0.499999744402201	-2.499998724783499	-97.49999878319585	-99.49999975659111
15429	9.972809930647308e-07	-0.4999997446543817	-2.4999987260416674	-97.49999878439638	-99.49999975683126
15430	9.962969991228476e-07	-0.4999997449063135	-2.4999987272985944	-97.49999878559574	-99.49999975707118
15431	9.953139670226818e-07	-0.49999974515799683	-2.499998728554281	-97.49999878679391	-99.49999975731086
15432	9.94332000903153e-07	-0.4999997454094319	-2.4999987298087287	-97.49999878799089	-99.4999997575503
15433	9.933510912163435e-07	-0.4999997456606188	-2.4999987310619387	-97.4999987891867	-99.49999975778951
15434	9.92371071317777e-07	-0.4999997459115578	-2.499998732313913	-97.49999879038131	-99.49999975802848
15435	9.913916982351445e-07	-0.49999974616224946	-2.499998733564651	-97.49999879157477	-99.49999975826722
15436	9.904135347404974e-07	-0.4999997464126938	-2.4999987348141555	-97.49999879276704	-99.49999975850572
15437	9.894365696760943e-07	-0.4999997466628909	-2.4999987360624267	-97.49999879395814	-99.499999758744
15438	9.884603194842967e-07	-0.49999974691284105	-2.499998737309467	-97.49999879514806	-99.49999975898201
15439	9.874850772639832e-07	-0.49999974716254464	-2.499998738555277	-97.4999987963368	-99.49999975921982
15440	9.865108211992712e-07	-0.4999997474120019	-2.499998739799857	-97.49999879752438	-99.49999975945738
15441	9.85537529307745e-07	-0.4999997476612132	-2.4999987410432105	-97.49999879871079	-99.49999975969472
15442	9.84565037664975e-07	-0.4999997479101784	-2.4999987422853356	-97.49999879989602	-99.4999997599318
15443	9.835936538582501e-07	-0.49999974815889814	-2.499998743526236	-97.49999880108008	-99.49999976016866
